resource_id,resource_name,resource_type,monthly_cost,previous_month_cost
vm-001,web-server-01,VM,1200,1000
vm-002,db-server-01,VM,1500,1200
storage-001,logs-bucket,Storage,300,250
vm-003,app-server-01,VM,800,750
storage-002,backup-bucket,Storage,450,400
vm-004,cache-server-01,VM,600,500
vm-005,batch-processor-01,VM,2000,1500
storage-003,media-files,Storage,800,600
vm-006,monitoring-server-01,VM,400,380
vm-007,api-gateway-01,VM,900,850
vm-008,web-server-02,VM,650,650
vm-009,analytics-worker-01,VM,2500,1800
vm-010,legacy-app-01,VM,1100,1050
vm-011,build-agent-01,VM,450,450
vm-012,production-api-01,VM,950,900
vm-013,queue-consumer-01,VM,300,290
storage-004,archive-bucket,Storage,200,150
storage-005,user-uploads,Storage,350,330
