resource_id,cpu_avg,cpu_p95,memory_avg,memory_p95,storage_growth_pct,latency_ms,availability
vm-001,15,30,40,55,5,250,99.5
vm-002,75,90,80,95,10,150,99.9
vm-003,5,10,20,30,2,800,99.0
vm-004,45,60,50,70,8,400,99.7
vm-005,20,35,35,50,3,120,99.8
storage-001,0.5,1,5,10,25,10,99.99
storage-002,0.3,0.8,8,15,30,15,99.98
vm-006,30,50,60,75,6,350,99.85
vm-007,85,92,75,88,18,200,99.92
storage-003,0.2,0.5,10,18,35,20,99.97
vm-008,3,8,12,20,2,90,99.6
vm-009,92,98,88,95,5,80,99.95
vm-010,40,55,45,60,6,1800,99.5
vm-011,8,15,18,25,3,60,99.8
vm-012,50,65,60,72,7,90,99.99
vm-013,35,48,42,55,4,110,99.9
storage-004,0.2,0.5,9,14,40,25,99.99
storage-005,0.1,0.3,5,10,8,18,99.98
